1,Ace,Diamonds
2,Two,Diamonds
3,Three,Diamonds
4,Four,Diamonds
5,Five,Diamonds
6,Six,Diamonds
7,Seven,Diamonds
8,Eight,Diamonds
9,Nine,Diamonds
10,Ten,Diamonds
11,Jack,Diamonds
12,Queen,Diamonds
13,King,Diamonds
14,Ace,Hearts
15,Two,Hearts
16,Three,Hearts
17,Four,Hearts
18,Five,Hearts
19,Six,Hearts
20,Seven,Hearts
21,Eight,Hearts
22,Nine,Hearts
23,Ten,Hearts
24,Jack,Hearts
25,Queen,Hearts
26,King,Hearts
27,Ace,Clubs
28,Two,Clubs
29,Three,Clubs
30,Four,Clubs
31,Five,Clubs
32,Six,Clubs
33,Seven,Clubs
34,Eight,Clubs
35,Nine,Clubs
36,Ten,Clubs
37,Jack,Clubs
38,Queen,Clubs
39,King,Clubs
40,Ace,Spades
41,Two,Spades
42,Three,Spades
43,Four,Spades
44,Five,Spades
45,Six,Spades
46,Seven,Spades
47,Eight,Spades
48,Nine,Spades
49,Ten,Spades
50,Jack,Spades
51,Queen,Spades
52,King,Spades
